wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,compressionratio,horsepower,citympg,highwaympg,price,price_log,enginesize_log,curbweight_log,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,carbody_convertible,carbody_hatchback,carbody_sedan,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_idi,fuelsystem_mpfi,gama
88.6,168.8,64.1,48.8,2548,130,3.47,9.0,111,21,27,13495.0,9.510074525452104,4.867534450455582,7.843064016692054,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
88.6,168.8,64.1,48.8,2548,130,3.47,9.0,111,21,27,16500.0,9.711115659888671,4.867534450455582,7.843064016692054,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
94.5,171.2,65.5,52.4,2823,152,2.68,9.0,154,19,26,16500.0,9.711115659888671,5.0238805208462765,7.945555428253489,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
99.8,176.6,66.2,54.3,2337,109,3.19,10.0,102,24,30,13950.0,9.543234787249512,4.691347882229144,7.756623334538858,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
99.4,176.6,66.4,54.3,2824,136,3.19,8.0,115,18,22,17450.0,9.767094927630572,4.912654885736052,7.945909598613133,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
99.8,177.3,66.3,53.1,2507,136,3.19,8.5,110,19,25,15250.0,9.632334782035558,4.912654885736052,7.826842098158293,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
105.8,192.7,71.4,55.7,2844,136,3.19,8.5,110,19,25,17710.0,9.78188473077688,4.912654885736052,7.952966790923131,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
105.8,192.7,71.4,55.7,2954,136,3.19,8.5,110,19,25,18920.0,9.847974842605868,4.912654885736052,7.990915463091325,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
105.8,192.7,71.4,55.9,3086,131,3.13,8.3,140,17,20,23875.0,10.08058716534893,4.875197323201151,8.034631032923107,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
99.5,178.2,67.9,52.0,3053,131,3.13,7.0,160,16,22,17859.167,9.790272212805272,4.875197323201151,8.023879992734878,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
101.2,176.8,64.8,54.3,2395,108,3.5,8.8,101,23,29,16430.0,9.706864211031316,4.68213122712422,7.781138509845015,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
101.2,176.8,64.8,54.3,2395,108,3.5,8.8,101,23,29,16925.0,9.736547097780475,4.68213122712422,7.781138509845015,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
101.2,176.8,64.8,54.3,2710,164,3.31,9.0,121,21,28,20970.0,9.950848123895966,5.099866427824199,7.904703913873747,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
101.2,176.8,64.8,54.3,2765,164,3.31,9.0,121,21,28,21105.0,9.9572652582166,5.099866427824199,7.9247959139564355,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
103.5,189.0,66.9,55.7,3055,164,3.31,9.0,121,20,25,24565.0,10.109077944602747,5.099866427824199,8.024534871605695,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
103.5,189.0,66.9,55.7,3230,209,3.62,8.0,182,16,22,30760.0,10.33397042361958,5.342334251964811,8.080237416216702,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
110.0,197.0,70.9,56.3,3505,209,3.62,8.0,182,15,20,36880.0,10.51542467767053,5.342334251964811,8.16194579946869,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
88.4,141.1,60.3,53.2,1488,61,2.91,9.5,48,47,53,5151.0,8.546946149565585,4.110873864173311,7.305188215393037,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
94.5,155.9,63.6,52.0,1874,90,3.03,9.6,70,38,43,6295.0,8.747510946478448,4.499809670330265,7.535830462798367,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,158.8,63.6,52.0,1909,90,3.03,9.6,70,38,43,6575.0,8.791029857045965,4.499809670330265,7.554334823725748,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.8,1876,90,2.97,9.41,68,37,41,5572.0,8.625509334899697,4.499809670330265,7.53689712956617,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.8,1876,90,2.97,9.4,68,31,38,6377.0,8.760453046315272,4.499809670330265,7.53689712956617,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
93.7,157.3,63.8,50.8,2128,98,3.03,7.6,102,24,30,7957.0,8.981807323377534,4.584967478670572,7.662937850461535,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
